id,distribution,e_time
1,"[{'shop_id': '21165865', 'shop_name': 'DellaSvg'}, {'word': 'svg', 'count': 124}, {'word': 'starbucks', 'count': 39}, {'word': 'mickey', 'count': 34}, {'word': 'disney', 'count': 30}, {'word': 'file', 'count': 22}]",1568604500.9143152
2,"[{'shop_id': '21165655', 'shop_name': 'VintageStyleSigns'}, {'word': 'sign*pre', 'count': 25}, {'word': 'drilled', 'count': 25}, {'word': 'guage', 'count': 25}, {'word': 'years', 'count': 25}, {'word': '*powder', 'count': 25}]",1568604500.914328
3,"[{'shop_id': '21163389', 'shop_name': 'Sherwoodmore'}, {'word': 'building', 'count': 9}, {'word': 'inside', 'count': 8}, {'word': 'state', 'count': 8}, {'word': 'printa', 'count': 7}, {'word': 'time', 'count': 7}]",1568604500.9143367
4,"[{'shop_id': '21162583', 'shop_name': 'PodMode'}, {'word': '100%', 'count': 13}, {'word': 'runs', 'count': 12}, {'word': 'g/m²)).:', 'count': 11}, {'word': 'polyester', 'count': 11}, {'word': 'fabric', 'count': 11}]",1568604500.914345
5,"[{'shop_id': '21162039', 'shop_name': 'SmartSVGDesigns'}, {'word': 'svg', 'count': 154}, {'word': 'silhouette', 'count': 149}, {'word': '1', 'count': 125}, {'word': 'cricut', 'count': 123}, {'word': 'use', 'count': 102}]",1568604500.9143548
6,"[{'shop_id': '21159771', 'shop_name': 'Roseobelle'}, {'word': '11oz', 'count': 25}, {'word': 'dishwasher', 'count': 25}, {'word': 'mughandmade', 'count': 24}, {'word': 'mug', 'count': 24}, {'word': 'safe.handmade', 'count': 16}]",1568604500.914363
7,"[{'shop_id': '21158587', 'shop_name': 'GregorySvg'}, {'word': 'svg', 'count': 135}, {'word': 'files', 'count': 55}, {'word': 'superhero', 'count': 54}, {'word': 'logo', 'count': 36}, {'word': 'cricut', 'count': 30}]",1568604500.9143708
8,"[{'shop_id': '21157113', 'shop_name': 'ShirtsWorks'}, {'word': 'cotton', 'count': 74}, {'word': 'image', 'count': 72}, {'word': 'unisex', 'count': 49}, {'word': 'print', 'count': 48}, {'word': 'created', 'count': 48}]",1568604500.9143782
9,"[{'shop_id': '21155263', 'shop_name': 'CathlenBalonArtSVG'}, {'word': 'halloween', 'count': 76}, {'word': 'svg', 'count': 50}, {'word': 'files', 'count': 50}, {'word': 'instantly', 'count': 25}, {'word': 'cutting', 'count': 25}]",1568604500.914386
10,"[{'shop_id': '21155083', 'shop_name': 'DELLAJewelryDesigns'}, {'word': 'gold', 'count': 35}, {'word': 'hoop', 'count': 22}, {'word': 'plated', 'count': 21}, {'word': 'beaded', 'count': 15}, {'word': 'necklace', 'count': 13}]",1568604500.9143937
